Event_ID,Match_Type,Home_Team,Away_Team,Match_Importance,Security_Tier,Expected_Attendance,Total_Attendance,Stadium_Name,Outer_Gate,Zone,Fan_Side,Time_Bin,Open_Lanes,Security_Staff_Count,Signage_Status,Incident_Flag,Delay_Minutes,Temperature_C,Humidity_%,Heat_Index,Processing_Time_s,Queue_Length_Est,Entry_Rate,Exit_Rate,Congestion_Level
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,17:00,4,15,Normal,0,0,31.1,52.5,32.1,6,3,2,1,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,17:05,4,15,Normal,0,0,31.1,52.5,32.1,19,4,1,1,Medium
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,17:10,4,15,Normal,0,0,31.1,52.5,32.1,10,10,4,1,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,17:15,4,15,Normal,0,0,31.1,52.5,32.1,11,11,4,0,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,17:20,4,15,Normal,0,0,31.1,52.5,32.1,12,18,6,3,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,17:25,4,15,Normal,0,0,31.1,52.5,32.1,12,24,8,2,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,17:30,4,15,Normal,0,0,31.1,52.5,32.1,7,5,3,7,Low
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,17:35,4,15,Normal,0,0,31.1,52.5,32.1,13,22,7,4,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,17:40,4,15,Normal,0,0,31.1,52.5,32.1,11,22,8,3,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,17:45,4,15,Normal,0,0,31.1,52.5,32.1,12,45,15,9,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,17:50,4,15,Normal,0,0,31.1,52.5,32.1,12,18,6,8,Medium
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,17:55,4,15,Normal,0,0,31.1,52.5,32.1,13,52,16,9,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,18:00,4,15,Normal,0,0,31.1,52.5,32.1,10,35,14,11,Medium
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,18:05,4,15,Normal,0,0,31.1,52.5,32.1,13,58,18,6,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,18:10,4,15,Normal,0,0,31.1,52.5,32.1,9,40,18,10,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,18:15,4,15,Normal,0,0,31.1,52.5,32.1,10,70,28,7,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,18:20,4,15,Normal,0,0,31.1,52.5,32.1,12,72,24,9,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,18:25,4,15,Normal,0,0,31.1,52.5,32.1,11,71,26,19,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,18:30,4,15,Normal,0,0,31.1,52.5,32.1,9,78,35,14,High
KASC_2025_M11,League,Al-Ittihad,Al-Raed,3,Normal,44750,42413,Inma Stadium (ملعب الإنماء),1,North,Home,18:35,4,15,Normal,0,0,31.1,52.5,32.1,15,135,36,15,High
